id,name,year,metacritic_rating,reviewer_rating,positivity_ratio,to_beat_main,to_beat_extra,to_beat_completionist,extra_content_length,tags
1480050,Survival RPG: The Lost Treasure,2021,,7,4.666666666666667,,,,,Action-Adventure|Pixel Graphics|Old School|Adventure|Resource Management|Combat|Building|Exploration|Action RPG|Top-Down|RPG|1980s|Relaxing|Crafting|Mining|Casual|Survival|Fantasy|Retro|Singleplayer|Colorful|Cute|Medieval|Cartoon|Open World Survival Craft|2D
1234830,Warmth,2020,,7,6.0,7.02,,,-7.02,Snow|Relaxing|Colorful|Cute|Puzzle|Casual|Strategy|Indie|Family Friendly|Cartoony|2D|Hex Grid|Dog|Resource Management|Stylized|Singleplayer
1536720,Deep Sea Valentine,2021,,7,8.0,,,,,Relaxing|Colorful|Cute|Visual Novel|Exploration|Romance|Underwater|Choices Matter|Casual|Anime|Stylized|2D|Pixel Graphics|Top-Down|Dating Sim|Female Protagonist|Comedy|RPG
1165180,Knight Eternal,2019,,7,6.5,,,,,Action|Pixel Graphics|Old School|Adventure|Turn-Based Combat|Romance|Character Customization|Female Protagonist|RPG|JRPG|RPGMaker|Crafting|Casual|Fantasy|Indie|Retro|Party-Based RPG|Singleplayer|Anime|Turn-Based|2D
1423030,Evolution,2020,,5,0.896551724137931,,,,,Story Rich|Adventure|Colony Sim|Exploration|Action RPG|Character Customization|Dinosaurs|RPG|MMORPG|Post-apocalyptic|Massively Multiplayer|Survival|Fantasy|Life Sim|Simulation|PvP|Hunting|2D|Open World|Sci-fi
1323860,Crowded Blue Dot,2020,,5,1.4761904761904763,,,,,Strategy|Pixel Graphics|Resource Management|Colony Sim|Building|Management|City Builder|Real-Time with Pause|Top-Down|Early Access|Sandbox|Casual|Survival|Indie|Singleplayer|Simulation|Family Friendly|2D|Economy
1237490,Redneck Ed: Astro Monsters Show,2020,53,5,1.0625,,,,,Side Scroller|Action|Adventure|Fighting|Platformer|Action Roguelike|Cyberpunk|2D Fighter|Gore|Controller|Comedy|Arcade|Indie|Cartoony|Singleplayer|Colorful|Hack and Slash|2D|Metroidvania
1451230,Blood of Titans,2021,,5,1.2,,,,,Story Rich|Strategy|Card Game|Adventure|Heist|Trading Card Game|PvE|Score Attack|Top-Down|Narration|Collectathon|Multiple Endings|Text-Based|Fantasy|Card Battler|PvP|Nonlinear|Hand-drawn|2D
1373440,Picross for a Cause,2020,,7,38.0,,,45.15,45.15,Puzzle|Casual|Indie|2D|Minimalist|Singleplayer
733820,Highrisers,2021,,4,0.6388888888888888,,,,,Procedural Generation|Dystopian |Zombies|Strategy|Pixel Graphics|Old School|Resource Management|PvE|Building|Exploration|Tactical|RPG|Post-apocalyptic|Crafting|Survival|Indie|Retro|Singleplayer|2D|Sci-fi
1462420,TWWWR,2020,,7,48.0,1.55,3.15,5.43,3.88,Action-Adventure|Action|Pixel Graphics|Adventure|Combat|PvE|Platformer|Atmospheric|Exploration|Top-Down|Multiple Endings|Destruction|Top-Down Shooter|Tutorial|Linear|Singleplayer|Bullet Hell|Colorful|Cute|2D
1084870,OSK - The End of Time,2019,,5,1.4705882352941178,0.89,0.92,1.5,0.61,Action-Adventure|Side Scroller|Action|Adventure|Nature|2.5D|Platformer|Atmospheric|Puzzle|Gore|Surreal|2D Platformer|Casual|Indie|Singleplayer|Abstract|Cute|2D|Difficult|Great Soundtrack
1444730,My Sweet Washing Machine!,2020,,6,3.4705882352941178,,,,,Relaxing|Colorful|Cute|Clicker|Atmospheric|Sexual Content|Casual|Anime|Puzzle|Indie|NSFW|2D|Adventure|Singleplayer
1124050,Ogre Tale,2020,63,5,1.4,,,,,Action-Adventure|Side Scroller|Action|Pixel Graphics|Old School|Adventure|Fighting|Modern|Demons|Comedy|Funny|Fantasy|Cartoony|Colorful|Cute|Anime|Third Person|Hack and Slash|2D
1112240,Wonder Boy Returns Remix,2019,,6,2.6,3.34,,,-3.34,Platformer|Arcade|Anime|Casual|Side Scroller|Action|2D
1361810,be you 2,2020,,8,4.625,0.23,,,-0.23,Horror|Story Rich|Visual Novel|Character Customization|Surreal|Dynamic Narration|RPG|Text-Based|Comic Book|Funny|Casual|Dark Humor|Life Sim|Choose Your Own Adventure|Dark Comedy|Cute|Interactive Fiction|Choices Matter|2D
1418540,SEARCH PARTY: Director's Cut,2021,,8,12.0,,,,,Horror|Multiple Endings|Combat|Violent|Action-Adventure|Exploration|Isometric|Survival|Indie|Action|Gore|2D|Pixel Graphics|Top-Down|Adventure|Singleplayer
1463530,Escape the Underground,2021,,8,7.416666666666667,,,,,Platformer|Dark|Cute|Precision Platformer|Side Scroller|Free to Play|Indie|Action|Cartoony|2D|Pixel Graphics|Adventure|Singleplayer|2D Platformer|Noir
1460250,RedEx,2020,,6,3.68,4.16,5.73,8.45,4.289999999999999,Arena Shooter|Combat|Platformer|Arcade|Side Scroller|Indie|Action|2D|Pixel Graphics|Minimalist|Precision Platformer|Heist|Singleplayer|Military|2D Platformer
1035850,Balancelot,2019,,6,3.3448275862068964,7.1,,,-7.1,Platformer|Racing|Physics|Funny|Medieval|Casual|Indie|Action|Dark Humor|Replay Value|Psychological Horror|2D|Difficult|Adventure|Comedy|Singleplayer
1204740,How Stories Die,2020,,8,9.8,5.2,,20.13,14.93,Magic|First-Person|Story Rich|Visual Novel|Romance|Free to Play|Gore|Multiple Endings|Mystery|Casual|Fantasy|Indie|Blood|Singleplayer|Violent|Colorful|Cute|Medieval|Anime|2D
1247190,Family Mysteries 2: Echoes of Tomorrow,2020,,6,2.7027027027027026,3.53,3.8,3.81,0.28000000000000025,Time Travel|Story Rich|Mystery|Casual|Science|Cyberpunk|Hidden Object|2D|Artificial Intelligence|Adventure|Singleplayer|Sci-fi
