steam_appid,name,developers,publishers,categories,genres,required_age,n_achievements,platforms,is_released,release_date,additional_content,total_reviews,total_positive,total_negative,review_score,review_score_desc,positive_percentual,metacritic,is_free,price_initial (USD)
1581490,The Phantom Fellows,['The Phantom Fellows'],['Strummer Games'],"['Single-player', 'Steam Achievements', 'Family Sharing']",['Adventure'],0,100,"['windows', 'mac', 'linux']",True,2024-09-27 00:00:00,[],20,19,1,7.0,Positive,95.0,0,False,14.99
1581500,Dragon Drop,['Cloudy Games LLC'],['Cloudy Games LLC'],"['Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Partial Controller Support', 'Remote Play Together', 'Family Sharing']","['Action', 'Casual', 'Indie', 'Early Access']",0,0,"['windows', 'mac', 'linux']",True,2022-06-10 00:00:00,[],36,36,0,7.0,Positive,100.0,0,False,4.99
1580750,G-MODEアーカイブス01 フライハイトクラウディア,['G-MODE'],['G-MODE'],"['Single-player', 'Steam Cloud', 'Family Sharing']",['RPG'],0,0,['windows'],True,2021-04-26 00:00:00,[],1,1,0,0.0,1 user reviews,100.0,0,False,4.99
1580780,[NINJA GAIDEN: Master Collection] NINJA GAIDEN Σ,"['KOEI TECMO GAMES CO., LTD.']","['KOEI TECMO GAMES CO., LTD.']","['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']","['Action', 'Adventure']",0,51,['windows'],True,2021-06-09 00:00:00,[],858,697,161,8.0,Very Positive,81.2,0,False,39.99
1580790,[NINJA GAIDEN: Master Collection] NINJA GAIDEN Σ2,"['KOEI TECMO GAMES CO., LTD.']","['KOEI TECMO GAMES CO., LTD.']","['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']","['Action', 'Adventure']",0,41,['windows'],True,2021-06-09 00:00:00,[],489,385,104,6.0,Mostly Positive,78.7,0,False,39.99
1580830,Lovengrad,['MARAUDER'],['Glacier Ltd'],"['Single-player', 'Tracked Controller Support', 'VR Supported', 'Stats']","['Action', 'Adventure', 'Indie']",0,0,['windows'],False,Not Released,[],0,0,0,0.0,No user reviews,0.0,0,False,0.0
1580850,Escape Abstraction,['Escape Abstraction Team'],['Rubika Supinfogame'],"['Single-player', 'Steam Achievements', 'Family Sharing']","['Casual', 'Indie']",0,8,['windows'],True,2022-06-03 00:00:00,['Escape Abstraction Soundtrack'],0,0,0,0.0,No user reviews,0.0,0,False,5.99
1580860,It's Not Rocket Science!,['Fastest Rocket Team'],['Rubika Supinfogame'],"['Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Remote Play Together', 'Family Sharing']","['Action', 'Casual', 'Indie']",0,10,['windows'],True,2024-04-17 00:00:00,[],0,0,0,0.0,No user reviews,0.0,0,False,3.99
1580870,Thief Shop,['Thief Shop Team'],['Rubika Supinfogame'],"['Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Family Sharing']","['Action', 'Casual', 'Indie', 'Early Access']",0,0,['windows'],True,2021-07-23 00:00:00,[],0,0,0,0.0,No user reviews,0.0,0,False,3.99
1580890,Save The Heart Planet,['Bi Kun'],['Bi Kun'],"['Single-player', 'Family Sharing']","['Adventure', 'Indie', 'RPG']",0,0,['windows'],True,2021-05-14 00:00:00,[],1,0,1,0.0,1 user reviews,0.0,0,False,8.99
1580950,Kanojo xx Switch,['Rectangular Circle'],['Rectangular Circle'],"['Single-player', 'Family Sharing']","['Casual', 'Indie', 'Simulation']",0,100,['windows'],True,2021-04-06 00:00:00,[],1,1,0,0.0,1 user reviews,100.0,0,False,0.99
1580960,The Trigger,['Kedexa'],['Kedexa'],"['Single-player', 'Family Sharing']","['Adventure', 'Indie', 'Simulation']",0,0,['windows'],True,2021-04-08 00:00:00,[],1,0,1,0.0,1 user reviews,0.0,0,False,4.99
1580970,Samorost 1,['Amanita Design'],['Amanita Design'],['Single-player'],"['Adventure', 'Casual', 'Indie']",0,0,"['windows', 'mac']",True,2021-05-20 00:00:00,[],0,0,0,0.0,No user reviews,0.0,0,True,0.0
1580980,The Floor is [Blank],['Damyan Momchev'],['Damyan Momchev'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Family Sharing']","['Action', 'Casual', 'Indie']",0,4,['windows'],True,2021-09-16 00:00:00,[],3,3,0,0.0,3 user reviews,100.0,0,False,2.99
1580990,Manipulator I:The Hand Behind,['GuoQiangQiang'],['GuoQiangQiang'],"['Single-player', 'Tracked Controller Support', 'VR Only', 'Family Sharing']",['Adventure'],0,0,['windows'],True,2021-04-24 00:00:00,[],0,0,0,0.0,No user reviews,0.0,0,False,9.99
1581010,Haunted House - The Murder,['Yannik Leuenberger'],['Deadcloud Productions'],"['Single-player', 'Family Sharing']","['Action', 'Adventure']",0,0,['windows'],True,2021-09-21 00:00:00,[],4,0,4,0.0,4 user reviews,0.0,0,False,1.99
1581040,El Shaddai ASCENSION OF THE METATRON HD Remaster,"['crim Co., Ltd.']","['crim Co., Ltd.', 'Gamera Games']","['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing']",['Action'],0,49,['windows'],True,2021-09-01 00:00:00,"['El Shaddai ASCENSION OF THE METATRON Soundtrack', 'El Shaddai ASCENSION OF THE METATRON ArtBook']",169,150,19,8.0,Very Positive,88.8,0,False,29.99
1581050,Memento Infernum,['MGames Studio'],['MGames Studio'],"['Single-player', 'Steam Achievements']","['Action', 'Indie']",0,5,"['windows', 'linux']",True,2021-04-16 00:00:00,[],1,1,0,0.0,1 user reviews,100.0,0,True,0.0
1581060,Dipod: The Foot Legacy,['CodingApe Games'],['Vulpis Yazilim'],"['Single-player', 'Steam Achievements', 'Full controller support']","['Action', 'Adventure', 'Indie']",0,0,['windows'],False,Not Released,[],0,0,0,0.0,No user reviews,0.0,0,False,0.0
1581080,Food Delivery Service,['KIMIDORI SOFT'],['KIMIDORI SOFT'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","['Adventure', 'Indie', 'Simulation']",0,7,['windows'],True,2021-04-16 00:00:00,[],9,5,4,0.0,9 user reviews,55.6,0,False,2.99
1581090,Kupechestvo,['Lamapotato'],['Lamapotato'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Steam Achievements', 'Family Sharing']","['Casual', 'Indie', 'Massively Multiplayer', 'Strategy']",0,13,"['windows', 'mac']",True,2021-11-14 00:00:00,[],1,1,0,0.0,1 user reviews,100.0,0,False,6.99
1581100,Bittersweet Birthday,['World Eater Games'],['DANGEN Entertainment'],"['Single-player', 'Full controller support']","['Action', 'Adventure']",0,0,"['windows', 'mac', 'linux']",False,Not Released,[],0,0,0,0.0,No user reviews,0.0,0,False,0.0
1580420,Ambidextrous Psychopath,['Rylan Yancey'],['Rylan Yancey'],"['Single-player', 'Family Sharing']","['Casual', 'Indie']",0,0,['windows'],True,2021-06-28 00:00:00,[],2,2,0,0.0,2 user reviews,100.0,0,False,0.99
1580440,The LastOnesLeft,['Khalil Hammouda'],['AKM Games'],"['Single-player', 'Family Sharing']","['Action', 'Adventure', 'Indie']",0,0,['windows'],True,2022-01-15 00:00:00,[],11,8,3,6.0,Mostly Positive,72.7,0,False,5.99
1580460,Godspell Defender,['Silver Dollar Games'],['Silver Dollar Games'],"['Single-player', 'Steam Achievements', 'Family Sharing']","['Action', 'Casual', 'Indie']",0,105,['windows'],True,2022-05-23 00:00:00,[],10,7,3,6.0,Mostly Positive,70.0,0,False,1.99
1580570,Blokker,['LM Games Studio'],['LM Games Studio'],"['Single-player', 'Steam Achievements', 'Family Sharing']","['Casual', 'Indie', 'Strategy']",0,10,['windows'],True,2021-04-12 00:00:00,[],28,26,2,7.0,Positive,92.9,0,False,1.99
1580600,Hunted: Kobayashi Tower,['Iron Wolf Games'],['Iron Wolf Games'],"['Single-player', 'Family Sharing']",['Indie'],0,0,"['windows', 'mac']",True,2021-06-29 00:00:00,[],12,12,0,7.0,Positive,100.0,0,False,4.99
1580640,银魂：Silver Soul,['秋太虚工作室'],['qiutaixu studio'],"['Single-player', 'Family Sharing']","['Adventure', 'Casual', 'Indie', 'Strategy']",0,0,['windows'],True,2021-04-08 00:00:00,[],10,7,3,6.0,Mostly Positive,70.0,0,False,0.99
1579920,Opportunity: A Sugar Baby Story,['BP Games'],['TinyHat Studios'],"['Single-player', 'Family Sharing']","['Casual', 'Indie']",0,0,['windows'],True,2023-02-13 00:00:00,[],68,57,11,8.0,Very Positive,83.8,0,False,14.99
1579950,Mythos Ever After: A Cthulhu Dating Sim RX,['Stegalosaurus Game Development'],['Stegalosaurus Game Development'],"['Single-player', 'Steam Achievements', 'Family Sharing']","['Casual', 'Indie']",0,10,"['windows', 'linux']",True,2021-07-20 00:00:00,['Mythos Ever After: A Cthulhu Dating Sim RX  + Other Soundtracks from 2021'],0,0,0,0.0,No user reviews,0.0,0,False,0.99
1580010,HUMANS CONNECT,['Claw Mark Productions'],['Claw Mark Productions'],"['Single-player', 'Steam Achievements', 'Full controller support']","['Action', 'Adventure', 'Casual', 'Indie']",0,17,['windows'],True,2022-02-11 00:00:00,[],5,3,2,0.0,5 user reviews,60.0,0,True,0.0
